Disambiguation;Pcorrect;rBias;absBias;RT;Frequency;PhaseDur;Unclear;LowConf;HighConf;block_id;session_id;subject_id
1;82,5;70;20;1,12156862745098;7,5;19,7312181634131;0;0;100;1;1;1
1;85;50;0;0,698882256272103;16,25;8,18451697917621;0;0;100;2;1;1
1;100;16,25;33,75;0,806421922125097;11,25;12,1550964213431;0;0;100;3;1;1
1;82,5;87,5;37,5;0,740471627279239;10;11,8012665597629;0;0;100;4;1;1
1;87,5;50;0;0,765657737050642;8,75;15,8420630462123;0;0;100;5;1;1
0;NaN;27,5;22,5;1,49257054422798;1,25;32,9658297366889;0;0;100;1;2;1
0;NaN;60;10;0,736491502138742;3,75;17,9813616745576;0;7,5;92,5;2;2;1
0;NaN;100;50;NaN;0;120;0;0;100;3;2;1
0;NaN;83,75;33,75;0,589584952510004;3,75;36,4622056178529;0;0;100;4;2;1
0;NaN;22,5;27,5;0,735253259510073;6,25;19,2300673464019;0;15;85;5;2;1
0,1;NaN;20;30;1,25283517839336;5;22,4769913571979;0;2,5;97,5;1;3;1
0,5;NaN;95;45;1,11650414584774;2,5;50,1986140310753;0;0;100;2;3;1
0,25;NaN;68,75;18,75;0,880939338285362;3,75;28,970344415944;0;0;100;3;3;1
1;NaN;76,25;26,25;0,66572927751547;7,5;18,9805704794116;0;55;45;4;3;1
0;NaN;65;15;0,698772872383888;3,75;27,4718783254641;0;35;65;5;3;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;1
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;1
1;100;56,25;6,25;0,807661865406553;15;9,61700468602648;0;0;100;1;1;2
1;100;33,75;16,25;0,843416453747777;17,5;8,13609301823391;0;0;100;2;1;2
